X,Y,WEATHER_STATIONS_ID,STATION_CODE,STATION_NAME,STATION_ACRONYM,LATITUDE,LONGITUDE,ELEVATION,INSTALL_DATE,OBJECTID
-126.58973362278,52.3872552906425,76,904,HAGENSBORG 2,FHG,52.38725,-126.589717,47,2005/07/12 22:00:00+00,965181
-118.272081841985,51.5154062871572,77,905,DOWNIE,FDO,51.5154,-118.272067,757,2005/07/18 22:00:00+00,965182
-120.457135044187,49.4334859227317,78,836,AUGUST LAKE,FAK,49.43348,-120.45712,855,2003/05/25 22:00:00+00,965183
-122.504182841453,51.9594501940727,79,210,RISKE CREEK,FRK,51.959444,-122.504167,929,1992/04/02 23:00:00+00,965184
-123.595816660248,52.9575056905022,80,211,NAZKO,FNZ,52.9575,-123.5958,910,1995/05/21 22:00:00+00,965185
-125.30335005567,52.456672157777,81,213,ANAHIM LAKE,FAN,52.456667,-125.303333,1096,1990/07/23 22:00:00+00,965186
-123.818349503121,51.4800056132774,82,216,NEMIAH,FNM,51.48,-123.818333,1220,1991/06/08 22:00:00+00,965187
-121.162015767411,51.5070059404132,83,218,LONE BUTTE,FLB,51.507,-121.162,1158,1990/04/22 22:00:00+00,965188
-122.661682705214,51.4516724549979,84,222,GASPARD,FGA,51.451667,-122.661667,1675,1992/04/22 22:00:00+00,965189
-121.873846063411,52.0497258751852,85,225,KNIFE,FKN,52.04972,-121.87383,821,1992/05/08 22:00:00+00,965190
-121.741682879279,52.4700059085641,86,227,GAVIN,FGV,52.47,-121.741667,1081,1992/05/08 22:00:00+00,965191
-121.398349072331,52.327783945965,87,230,HORSEFLY,FHR,52.327778,-121.398333,701,1990/05/22 22:00:00+00,965192
-120.389948698529,51.7237890430375,88,232,COLDSCAUR LAKE,FCS,51.723783,-120.389933,1122,1978/12/31 23:00:00+00,965193
-121.389015935079,51.9130059294682,89,234,TIMOTHY,FTI,51.913,-121.389,1161,1998/07/19 22:00:00+00,965194
-120.184414918802,49.1390559385406,90,331,ASHNOLA,FAS,49.13905,-120.1844,1683,1991/09/19 22:00:00+00,965195
-119.415014783803,49.1483393255908,91,334,MCCUDDY,FMC,49.148333,-119.415,1067,1989/08/09 22:00:00+00,965196
-118.422931700221,50.6021562201834,92,352,CURWEN CREEK,FCW,50.60215,-118.422917,1286,1990/07/08 22:00:00+00,965197
-118.48708232902,51.6694362696736,93,919,GOLDSTREAM 2,FGE,51.66943,-118.487067,1333,2005/09/14 22:00:00+00,965198
-127.325834589112,54.6837882373864,94,938,PINE CREEK,FEE,54.683783,-127.325817,1320,2006/06/01 22:00:00+00,965199
-124.776739408317,53.9359777653076,95,654,HOLY CROSS 2,FHC,53.935972,-124.776722,961,1998/07/02 22:00:00+00,965200
